#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3CBB6
#Date Time: 2026-08-17 17:35:54.093
#Sample rate: 5e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-1.551545741324921e-05,12.0113591430938,12.00289901652863
-1.549545741324921e-05,12.00767184061187,12.00289901652863
-1.547545741324921e-05,12.00398453812993,12.01402259922865
-1.545545741324921e-05,12.00398453812993,12.01031473832865
-1.543545741324921e-05,12.0113591430938,12.00289901652863
-1.541545741324921e-05,12.00767184061187,12.01402259922865
-1.539545741324921e-05,12.00398453812993,12.00660687742864
-1.537545741324921e-05,12.00767184061187,12.00289901652863
-1.535545741324921e-05,12.00398453812993,12.01773046012866
-1.533545741324921e-05,12.00398453812993,12.01402259922865
-1.531545741324921e-05,12.00767184061187,12.01402259922865
-1.529545741324921e-05,12.01504644557573,12.01773046012866
-1.527545741324921e-05,12.01504644557573,12.01402259922865
-1.525545741324921e-05,12.01504644557573,12.01402259922865
-1.523545741324921e-05,12.00767184061187,12.01031473832865
-1.521545741324921e-05,12.02979565550346,12.01031473832865
-1.519545741324921e-05,12.02610835302153,12.01773046012866
-1.517545741324921e-05,12.02610835302153,12.01031473832865
-1.515545741324921e-05,12.01873374805766,12.02143832102867
-1.513545741324921e-05,12.03717026046733,12.01773046012866
-1.511545741324921e-05,12.0445448654312,12.02514618192868
-1.509545741324921e-05,12.0334829579854,12.01773046012866
-1.507545741324921e-05,12.02610835302153,12.03256190372869
-1.505545741324921e-05,12.03717026046733,12.02143832102867
-1.503545741324921e-05,12.02979565550346,12.01773046012866
-1.501545741324921e-05,12.01873374805766,12.01773046012866
-1.499545741324921e-05,12.02979565550346,12.02143832102867
-1.497545741324921e-05,12.02979565550346,12.02143832102867
-1.495545741324921e-05,12.02610835302153,12.03256190372869
-1.493545741324921e-05,12.0224210505396,12.01402259922865
-1.491545741324921e-05,12.02610835302153,12.02143832102867
-1.489545741324921e-05,12.01504644557573,12.02885404282869
-1.487545741324921e-05,12.01873374805766,12.02143832102867
-1.485545741324921e-05,12.0224210505396,12.02143832102867
-1.483545741324921e-05,12.0224210505396,12.02143832102867
-1.481545741324921e-05,12.01504644557573,12.02143832102867
-1.479545741324921e-05,12.00398453812993,12.01773046012866
-1.477545741324921e-05,12.00767184061187,12.02514618192868
-1.475545741324921e-05,12.02610835302153,12.01402259922865
-1.473545741324921e-05,12.00398453812993,12.01773046012866
-1.471545741324921e-05,12.0113591430938,12.01773046012866
-1.469545741324921e-05,12.00767184061187,12.01402259922865
-1.467545741324921e-05,12.0113591430938,12.0362697646287
-1.465545741324921e-05,12.01873374805766,12.03256190372869
-1.463545741324921e-05,12.00398453812993,12.01402259922865
-1.461545741324921e-05,12.01504644557573,12.02514618192868
-1.459545741324921e-05,12.00767184061187,12.01402259922865
-1.457545741324921e-05,12.01873374805766,12.02514618192868
-1.455545741324921e-05,12.01504644557573,12.01402259922865
-1.453545741324921e-05,12.00767184061187,12.01402259922865
-1.451545741324921e-05,12.00398453812993,12.01031473832865
-1.449545741324921e-05,12.0113591430938,12.02514618192868
-1.447545741324921e-05,11.99660993316607,12.01031473832865
-1.445545741324921e-05,12.0113591430938,12.01773046012866
-1.443545741324921e-05,12.00398453812993,12.01031473832865
-1.441545741324921e-05,12.01504644557573,12.01773046012866
-1.439545741324921e-05,11.99660993316607,12.00289901652863
-1.437545741324921e-05,12.000297235648,12.01773046012866
-1.435545741324921e-05,11.99292263068414,12.01031473832865
-1.433545741324921e-05,11.99660993316607,12.01031473832865
-1.431545741324921e-05,11.99292263068414,12.02143832102867
-1.429545741324921e-05,11.99660993316607,12.01402259922865
-1.427545741324921e-05,12.00398453812993,12.01402259922865
-1.425545741324921e-05,11.9892353282022,12.01402259922865
-1.423545741324921e-05,12.000297235648,12.02143832102867
-1.421545741324921e-05,12.000297235648,12.03256190372869
-1.419545741324921e-05,12.00767184061187,12.02514618192868
-1.417545741324921e-05,12.000297235648,12.02143832102867
-1.415545741324921e-05,12.01504644557573,12.02143832102867
-1.413545741324921e-05,12.01873374805766,12.03256190372869
-1.411545741324921e-05,12.00767184061187,12.02143832102867
-1.409545741324921e-05,12.01873374805766,12.03256190372869
-1.407545741324921e-05,12.00398453812993,12.02143832102867
-1.405545741324921e-05,12.01504644557573,12.02143832102867
-1.403545741324921e-05,12.01504644557573,12.02143832102867
-1.401545741324921e-05,12.0113591430938,12.02143832102867
-1.399545741324921e-05,12.0224210505396,12.03256190372869
-1.397545741324921e-05,12.0113591430938,12.02885404282869
-1.395545741324921e-05,12.01873374805766,12.0362697646287
-1.393545741324921e-05,12.000297235648,12.02514618192868
-1.391545741324921e-05,12.0113591430938,12.02885404282869
-1.389545741324921e-05,12.0113591430938,12.03256190372869
-1.387545741324921e-05,12.00767184061187,12.02885404282869
-1.385545741324921e-05,12.0113591430938,12.03256190372869
-1.383545741324921e-05,12.00767184061187,12.02885404282869
-1.381545741324921e-05,12.00767184061187,12.02143832102867
-1.379545741324921e-05,12.0113591430938,12.0362697646287
-1.377545741324921e-05,12.0224210505396,12.02885404282869
-1.375545741324921e-05,12.01873374805766,12.03256190372869
